TRF371135IRGZT,1
TRF372017IRGZT,1
CRCW060310K0FKEAHP,5



RC0805RF-07105KL,1
1711026,2
1711026,2
CH12S-45S-0.5SH,1
26-60-5050,1
AD627,1
,8
1-1318300-6,1
MCR10EZHF1001,1
?,72
?,72
15-47-6102,1
DF1EC-2P-2.5DSA(05),3
DF1EC-3P-2.5DSA(05),1
DF1EC-5P-2.5DSA(05),1
DF1EC-4P-2.5DSA(05),3
FH-40-45S-0.5SV,1
LM1084IT-5.0/NOPB,1
,8
MCR03EZPFX10R0,1
TM8R1-6K016UBA,1
,8
TAJR226M004RNJ,1

57102-G06-25LF,1
,8
57102-G06-08LF,1
LM1084IS-5.0/NOPB,1
TAJR104K020RNJ,1

LMC662CM/NOPB,3
MCR03EZPFX2200,1
A2982ELW-T,1
MAX6818EAP,2
NA,9
LMC662CM/NOPB,3
LMC662CM/NOPB,3
C1206C106K8RACTU,3
MCR03EZPFX4701,1

,8
,8
,8

R-78C5.0-1.0,2
C4532X7R1E226M,2
ECJ-2VB1E104K,2
LM6132BIM/NOPB,1
TBD,6
,8
ECJ-2VB1E104K,2
?,72
PMBT3904 T/R,1
TXS0108EPWR,3
AXK5S00247YG,3
0492250821,2
C1206C106K8RACTU,3
06033C104JAT2A,51
CRCW060333R0FKEAHP,2
MUN5214DW1T1G,5
LM4121IM5-ADJ/NOPB,2
08053C105K4Z2A,7
LMK316AB7226ML-TR,5
7914G-1-000E,3
MCR03EZPFX1001,1
TPS73701DCQ,2
MCR03EZPFX2001,1
MC 0.063W 0603 1% 22K6,2
AK4621EFP-E2,1
LMP8350MA/NOPB,1

MCR03EZPFX2002,1
MCR03EZPFX1201,3
MCR03EZPFX1000,3
ECJ-1VC1H102J,3

LMP7701MF,1
LMK325B7476MM-TR,13
CS4272-CZZ,2
MC 0.063W 0603 1% 634R,3
MC 0.063W 0603 1% 91R,3

C0603C104M4RACTU,3
MCCA000361,3
LMP7732MME/NOPB,7
TC1015-2.5VCT713,2
ECJ-1VC1H471J,16
R-78AA5.0-1.0SMD,2
MC 0.063W 0603 1% 56K2,2
TC1185-5.0VCT713,2
MC 0.0625W 0402 1% 2K32,3
MC 0.063W 0603 1% 715R,3
MC 0.063W 0603 1% 4K42,3
MC 0.063W 0603 1% 1K33,3
MC 0.063W 0603 1% 4K99,3
MC 0.063W 0603 1% 560R,3
MC 0.063W 0603 1% 47K,3
06035A471J4T2A,3
06033C104JAT2A,51
MC 0.063W 0603 1% 4K7,3
MC 0.063W 0603 1% 68K,1
MC 0.063W 0603 1% 33K,1
MC 0.063W 0603 1% 1K8,1
MC 0.063W 0603 5% 3K3,1
MC 0.063W 0603 1% 10K,19
MC 0.063W 0603 1% 100R,1
TBD,6
TBD,6
C3216X7R1A106K,19
MC 0.063W 0603 1% 220R,5
CRCW06031K00FKEAHP,6
MC 0.063W 0603 1% 2K,2
0805ZC105KAZ2A,19
MC 0.063W 0603 1% 1K5,3
GRM1885C1H152JA01D,3
C0603C682J5GACTU,3
TC1015-5.0VCT713,7
BF20BA1-12.288MHZ,2
MCCA000199,3
SP3232EBCY-L,2
TXS0102DCTT,2
TXS0104ED,1
TXS0108EPWR,3
TXS0104EPWR,2
TC1015-1.8VCT713,5
NA,9
PAD10-2010-HH,7
MC 0.0625W 0402 1% 10R2,107
1050170001,2
PGB1010603MR,5
SN74LVC1G97DBVT,2
CRG0402ZR,2
SN74LVC1G08DBVR,2
74HC04N,1
SN74LVC2G07DBVR,1
SN74LVC04ANSR,1
TFP410MPAPREP,2
MMZ1608R301A,10
MC 0.0625W 0402 1% 1K,5
MC 0.0625W 0402 1% 10K,5
10029449-001RLF,2
MC 0.063W 0603 1% 510R,2
MICROSMD010F-2,2
HD2X04,2
LAN9220-ABZJ,2
MC 0.063W 0603 1% 4K75,8
HD2X05,1
J0011D01BNL,2
MC 0.063W 0603 5% 10R,2
MC 0.063W 0603 1% 49R9,5
06031A150JAT2A,5
MC 0.063W 0603 1% 332R,4
HSMC-C170,1
ASMT-RH45-AQ502,1
HSME-C191,2
TC1015-3.3VCT713,4
CAT93C46WI-GT3,2
MCCA000198,3
MC 0.063W 0603 1% 1M,2
?,72
SN74LVC1G07DBVR,1
USB3320C-EZK-TR,2
0805ZC475KAT2A,4
MC 0.063W 0603 1% 8K06,2
47589-0001,2
TPS2061D,2
